Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,ID
1,Stefon Diggs*+,BUF,27,WR,16,15,10.4,7.94,76.5%,95.9,12.1,0.50,4.56,55,9.2,7.9,95.9,0.00,DiggSt00
2,Davante Adams*+,GNB,28,WR,14,14,10.6,8.21,77.2%,98.1,11.9,1.29,5.21,56,9.2,8.2,98.1,0.07,AdamDa01
3,DeAndre Hopkins*,ARI,28,WR,16,16,10.0,7.19,71.9%,87.9,12.2,0.38,4.69,60,8.8,7.2,87.9,0.19,HopkDe00
4,Darren Waller*,LVR,28,TE,16,15,9.06,6.69,73.8%,74.8,11.2,0.56,4.31,38,8.2,6.7,74.8,0.13,WallDa01
5,Travis Kelce*+,KAN,31,TE,15,15,9.67,7.00,72.4%,94.4,13.5,0.73,5.27,45,9.8,7.0,94.4,0.07,KelcTr00
6,Allen Robinson,CHI,27,WR,16,16,9.44,6.38,67.5%,78.1,12.3,0.38,4.25,42,8.3,6.4,78.1,0.00,RobiAl02
7,Keenan Allen*,LAC,28,WR,14,13,10.5,7.14,68.0%,70.9,9.9,0.57,4.36,28,6.7,7.1,70.9,0.21,AlleKe00
8,Tyler Lockett,SEA,28,WR,16,16,8.25,6.25,75.8%,65.9,10.5,0.63,3.56,47,8.0,6.3,65.9,0.06,LockTy00
9,JuJu Smith-Schuster,PIT,24,WR,16,14,8.00,6.06,75.8%,51.9,8.6,0.56,3.00,31,6.5,6.1,51.9,0.19,SmitJu00
10,Robby Anderson,CAR,27,WR,16,16,8.50,5.94,69.9%,68.5,11.5,0.19,3.06,75,8.1,5.9,68.5,0.06,AndeRo04
11,Amari Cooper,DAL,26,WR,16,15,8.13,5.75,70.8%,69.6,12.1,0.31,3.38,69,8.6,5.8,69.6,0.00,CoopAm00
12,Cooper Kupp,LAR,27,WR,15,12,8.27,6.13,74.2%,64.9,10.6,0.20,3.00,55,7.9,6.1,64.9,0.07,KuppCo00
13,Calvin Ridley,ATL,26,WR,15,15,9.53,6.00,62.9%,91.6,15.3,0.60,4.33,63,9.6,6.0,91.6,0.07,RidlCa00
14,Robert Woods,LAR,28,WR,16,16,8.06,5.63,69.8%,58.5,10.4,0.38,2.88,56,7.3,5.6,58.5,0.13,WoodRo02
15,Justin Jefferson*,MIN,21,WR,16,14,7.81,5.50,70.4%,87.5,15.9,0.44,3.63,71,11.2,5.5,87.5,0.06,JeffJu00
16,Diontae Johnson,PIT,24,WR,15,13,9.60,5.87,61.1%,61.5,10.5,0.47,3.00,47,6.4,5.9,61.5,0.13,JohnDi01
17,Tyreek Hill*+,KAN,26,WR,15,15,9.00,5.80,64.4%,85.1,14.7,1.00,3.80,75,9.5,5.8,85.1,0.07,HillTy00
18,Terry McLaurin,WAS,25,WR,15,15,8.93,5.80,64.9%,74.5,12.9,0.27,3.40,68,8.3,5.8,74.5,0.07,McLaTe00
19,Alvin Kamara*,NOR,25,RB,15,10,7.13,5.53,77.6%,50.4,9.1,0.33,2.33,52,7.1,5.5,50.4,0.07,KamaAl00
20,D.K. Metcalf*,SEA,23,WR,16,16,8.06,5.19,64.3%,81.4,15.7,0.63,3.94,62,10.1,5.2,81.4,0.06,MetcDK00
21,Cole Beasley,BUF,31,wr,15,10,7.13,5.47,76.6%,64.5,11.8,0.27,3.53,35,9.0,5.5,64.5,0.00,BeasCo00
22,Brandin Cooks,HOU,27,WR,15,15,7.93,5.40,68.1%,76.7,14.2,0.40,3.40,57,9.7,5.4,76.7,0.00,CookBr00
23,J.D. McKissic,WAS,27,rb,16,7,6.88,5.00,72.7%,36.8,7.4,0.13,2.00,29,5.4,5.0,36.8,0.19,McKiJ.00
24,Tyler Boyd,CIN,26,wr,15,8,7.33,5.27,71.8%,56.1,10.6,0.27,2.87,72,7.6,5.3,56.1,0.07,BoydTy00
25,Curtis Samuel,CAR,24,WR,15,5,6.47,5.13,79.4%,56.7,11.1,0.20,2.60,44,8.8,5.1,56.7,0.07,SamuCu00
